herb_i,herb_j
0,1
0,2
0,3
0,5
0,6
0,7
0,8
0,9
0,15
0,16
0,17
0,23
0,24
0,25
0,27
0,28
0,32
0,33
0,37
0,38
0,39
0,40
0,41
0,44
0,46
0,54
0,61
0,66
0,67
0,68
0,71
0,76
0,80
0,83
0,85
0,87
0,89
0,90
0,94
0,100
0,101
0,102
0,103
0,116
0,148
0,153
0,155
0,161
0,173
0,186
0,298
1,0
1,2
1,6
1,15
1,32
1,38
1,39
1,40
1,54
1,60
1,80
1,94
1,153
2,0
2,1
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,12
2,15
2,16
2,17
2,23
2,24
2,25
2,27
2,32
2,33
2,37
2,38
2,44
2,46
2,49
2,54
2,66
2,67
2,68
2,71
2,76
2,78
2,80
2,85
2,89
2,94
2,100
2,101
2,102
2,103
2,153
2,161
2,177
2,202
2,212
3,0
3,2
3,5
3,6
3,15
3,38
3,54
3,80
3,101
3,103
4,2
4,15
4,16
4,38
4,54
4,80
5,0
5,2
5,3
5,6
5,8
5,15
5,16
5,17
5,25
5,32
5,38
5,54
5,76
5,80
5,101
5,103
6,0
6,1
6,2
6,3
6,5
6,7
6,8
6,9
6,12
6,15
6,16
6,17
6,23
6,24
6,25
6,27
6,28
6,30
6,32
6,33
6,37
6,38
6,39
6,40
6,41
6,42
6,44
6,46
6,48
6,50
6,54
6,60
6,61
6,66
6,67
6,68
6,71
6,76
6,78
6,80
6,81
6,83
6,84
6,85
6,87
6,88
6,90
6,94
6,100
6,101
6,102
6,103
6,116
6,124
6,127
6,130
6,131
6,148
6,153
6,155
6,161
6,165
6,212
7,0
7,2
7,6
7,8
7,12
7,15
7,16
7,17
7,23
7,24
7,25
7,27
7,28
7,30
7,32
7,33
7,37
7,38
7,41
7,44
7,45
7,46
7,49
7,51
7,54
7,61
7,67
7,68
7,71
7,78
7,80
7,85
7,89
7,94
7,100
7,101
7,102
7,116
7,161
8,0
8,2
8,5
8,6
8,7
8,9
8,10
8,12
8,15
8,16
8,17
8,18
8,19
8,21
8,23
8,24
8,25
8,26
8,27
8,28
8,30
8,32
8,33
8,36
8,37
8,38
8,39
8,40
8,41
8,44
8,45
8,46
8,48
8,49
8,50
8,51
8,53
8,54
8,57
8,58
8,59
8,60
8,64
8,66
8,67
8,68
8,69
8,71
8,73
8,76
8,78
8,80
8,83
8,84
8,85
8,86
8,87
8,88
8,89
8,90
8,94
8,100
8,101
8,102
8,103
8,107
8,111
8,112
8,116
8,118
8,119
8,120
8,124
8,126
8,127
8,130
8,135
8,144
8,147
8,148
8,150
8,153
8,156
8,158
8,162
8,189
8,191
8,197
8,206
8,207
8,212
8,216
8,219
8,221
8,228
8,264
9,0
9,2
9,6
9,8
9,10
9,12
9,15
9,16
9,17
9,18
9,24
9,25
9,27
9,28
9,32
9,33
9,38
9,41
9,44
9,45
9,46
9,54
9,66
9,67
9,68
9,71
9,80
9,85
9,87
9,89
9,91
9,94
9,101
9,116
9,135
9,136
9,160
9,185
10,8
10,9
10,12
10,15
10,16
10,18
10,24
10,25
10,27
10,32
10,38
10,41
10,45
10,51
10,54
10,57
10,68
10,71
10,80
10,89
10,94
10,100
10,101
10,102
10,116
10,136
10,178
11,15
11,16
11,27
11,37
11,38
11,41
11,53
11,67
11,68
11,71
11,83
11,89
11,107
11,116
11,118
12,2
12,6
12,7
12,8
12,9
12,10
12,15
12,16
12,17
12,18
12,23
12,24
12,25
12,26
12,27
12,29
12,32
12,37
12,38
12,41
12,44
12,45
12,46
12,49
12,51
12,54
12,66
12,67
12,68
12,71
12,80
12,85
12,89
12,94
12,100
12,101
12,102
12,103
12,112
12,116
12,120
12,138
12,161
12,178
12,203
12,295
12,366
13,15
13,16
13,17
13,24
13,27
13,38
13,80
13,85
13,100
13,102
14,15
14,27
14,116
15,0
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,63
15,64
15,66
15,67
15,68
15,69
15,71
15,72
15,73
15,74
15,75
15,76
15,77
15,78
15,79
15,80
15,81
15,82
15,83
15,84
15,85
15,86
15,87
15,88
15,89
15,90
15,91
15,94
15,95
15,96
15,98
15,99
15,100
15,101
15,102
15,103
15,106
15,107
15,108
15,109
15,110
15,111
15,112
15,114
15,116
15,117
15,118
15,119
15,120
15,121
15,122
15,124
15,126
15,127
15,130
15,131
15,133
15,135
15,136
15,137
15,138
15,142
15,143
15,144
15,147
15,148
15,149
15,150
15,151
15,153
15,154
15,155
15,156
15,159
15,160
15,161
15,162
15,164
15,165
15,166
15,171
15,173
15,176
15,177
15,178
15,180
15,181
15,182
15,183
15,184
15,185
15,186
15,187
15,189
15,191
15,197
15,198
15,202
15,203
15,204
15,205
15,206
15,207
15,208
15,210
15,211
15,212
15,216
15,218
15,219
15,223
15,227
15,228
15,233
15,234
15,239
15,240
15,248
15,250
15,251
15,252
15,254
15,256
15,259
15,263
15,264
15,272
15,275
15,278
15,279
15,280
15,295
15,298
15,299
15,300
15,301
15,307
15,316
15,317
15,347
15,350
15,353
15,354
15,355
15,362
15,366
15,372
15,385
15,386
15,387
15,404
15,405
15,437
16,0
16,2
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,15
16,17
16,18
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,32
16,33
16,36
16,37
16,38
16,39
16,40
16,41
16,44
16,45
16,46
16,48
16,49
16,50
16,51
16,52
16,53
16,54
16,57
16,59
16,60
16,61
16,63
16,64
16,66
16,67
16,68
16,69
16,71
16,72
16,73
16,75
16,76
16,77
16,78
16,80
16,81
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,94
16,98
16,100
16,101
16,102
16,103
16,106
16,107
16,108
16,109
16,110
16,111
16,112
16,116
16,118
16,119
16,120
16,124
16,133
16,135
16,136
16,137
16,138
16,143
16,144
16,147
16,148
16,149
16,150
16,151
16,153
16,154
16,156
16,157
16,159
16,160
16,161
16,162
16,165
16,169
16,171
16,172
16,173
16,178
16,180
16,181
16,184
16,185
16,186
16,187
16,189
16,191
16,200
16,202
16,203
16,204
16,206
16,207
16,210
16,211
16,212
16,216
16,219
16,223
16,227
16,228
16,233
16,239
16,250
16,251
16,263
16,275
16,282
16,283
16,284
16,285
16,295
16,297
16,298
16,299
16,300
16,301
16,311
16,316
16,350
16,365
16,369
16,372
16,385
16,437
17,0
17,2
17,5
17,6
17,7
17,8
17,9
17,12
17,13
17,15
17,16
17,18
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,32
17,33
17,37
17,38
17,39
17,41
17,44
17,45
17,46
17,48
